,start,end,energy(J)
0,2017-09-25 13:41:41,2017-09-25 14:00:37,1241572.7166246967
1,2017-09-26 05:42:06,2017-09-26 05:57:29,1832396.6813028108
2,2017-09-26 07:30:14,2017-09-26 08:16:05,2472770.8210062147
3,2017-09-26 10:17:15,2017-09-26 10:33:41,1770488.2239179085
4,2017-09-26 14:06:03,2017-09-26 14:46:26,1326204.564029008
5,2017-09-27 05:57:20,2017-09-27 06:13:34,1804226.54283954
6,2017-09-27 07:33:40,2017-09-27 08:21:04,2614793.088628968
7,2017-09-27 10:04:37,2017-09-27 10:16:09,1136077.601922342
8,2017-09-27 13:27:21,2017-09-27 14:07:35,1271744.5142250122
9,2017-09-27 19:28:59,2017-09-27 19:41:36,1065159.066938264
10,2017-09-27 20:55:38,2017-09-27 21:04:43,819760.0778239769
11,2017-09-28 09:41:21,2017-09-28 10:18:28,1648037.4523890116
12,2017-09-28 13:44:34,2017-09-28 13:54:55,944075.4363347499
13,2017-09-28 17:57:42,2017-09-28 18:20:42,1883098.4117661614
14,2017-09-29 05:39:33,2017-09-29 05:56:22,1901398.7430942724
15,2017-09-29 07:06:48,2017-09-29 07:20:32,1750534.031590223
16,2017-09-29 08:08:37,2017-09-29 08:15:54,541928.2926340966
17,2017-09-29 09:31:04,2017-09-29 09:44:16,1219238.5120180435
18,2017-09-29 13:55:04,2017-09-29 14:01:21,396226.1593594111
19,2017-09-29 14:35:26,2017-09-29 14:44:35,807505.0542221447
20,2017-09-29 15:21:40,2017-09-29 15:32:15,1147554.0012065289
21,2017-09-29 16:50:04,2017-09-29 17:01:23,986769.9950663071
22,2017-09-29 19:09:19,2017-09-29 22:11:18,9261569.322948484
23,2017-09-30 08:24:49,2017-09-30 09:22:37,5064261.062811414
24,2017-09-30 11:05:56,2017-09-30 13:50:39,61101463.9923501
25,2017-09-30 14:24:19,2017-09-30 14:50:11,3378611.0835360726
26,2017-09-30 15:23:21,2017-09-30 16:47:03,4844803.436831322
27,2017-09-30 19:51:17,2017-09-30 20:15:56,2318970.7604651162
28,2017-09-30 22:46:13,2017-09-30 23:00:19,1653388.3453116564
29,2017-10-01 08:54:27,2017-10-01 09:03:55,836787.3744777159
30,2017-10-01 09:43:41,2017-10-01 10:10:56,2330221.949232225
31,2017-10-07 16:48:55,2017-10-07 17:14:21,2979482.5917722583
32,2017-10-07 20:08:21,2017-10-07 20:30:47,2372458.6819902896
33,2017-10-07 21:24:36,2017-10-07 21:37:34,1082746.4669968614
34,2017-10-08 11:02:42,2017-10-08 11:47:44,7417701.460684855
35,2017-10-08 14:56:23,2017-10-08 16:35:10,10564853.344702635
36,2017-10-08 20:46:13,2017-10-08 21:47:02,3545015.6497613797
37,2017-10-08 23:21:00,2017-10-08 23:42:13,3052477.12374732
38,2017-10-09 08:33:59,2017-10-09 10:00:36,10565457.05136093
39,2017-10-09 15:40:09,2017-10-09 16:57:31,10871119.761263592
40,2017-10-09 18:00:27,2017-10-09 18:17:06,1792511.1098624177
41,2017-10-09 19:32:05,2017-10-09 20:03:39,2193515.7098124074
42,2017-10-10 05:37:53,2017-10-10 05:54:14,1847261.7544776944
43,2017-10-10 07:17:05,2017-10-10 07:31:27,1714424.4058315519
44,2017-10-10 08:04:43,2017-10-10 08:16:37,793145.0507501768
45,2017-10-10 09:20:42,2017-10-10 09:33:23,1296949.0448247257
46,2017-10-10 13:31:09,2017-10-10 13:34:22,157762.71604938296
47,2017-10-10 17:30:27,2017-10-10 18:20:37,2879710.953818841
48,2017-10-10 20:07:41,2017-10-10 21:04:53,5071990.709145447
49,2017-10-11 06:09:51,2017-10-11 06:25:00,1794624.6104712193
50,2017-10-11 07:37:00,2017-10-11 08:16:09,2281171.4171089474
51,2017-10-11 09:16:32,2017-10-11 09:30:34,1302249.0928354093
52,2017-10-11 13:41:12,2017-10-11 14:20:10,2453500.128252681
53,2017-10-11 17:32:46,2017-10-11 18:25:28,2986454.481002385
54,2017-10-11 20:52:05,2017-10-11 21:42:22,3370547.290891709
55,2017-10-12 05:45:41,2017-10-12 06:01:48,1813800.9074753996
56,2017-10-12 07:30:54,2017-10-12 07:46:13,1762283.0782797965
57,2017-10-12 08:42:35,2017-10-12 10:01:42,10219544.42360758
58,2017-10-12 16:02:48,2017-10-12 17:13:51,9225702.22419183
59,2017-10-12 18:05:54,2017-10-12 18:31:41,1096180.1454056073
60,2017-10-13 08:21:28,2017-10-13 09:36:51,10113595.871944543
61,2017-10-13 16:18:02,2017-10-13 18:58:58,10762304.750740752
62,2017-10-14 10:21:12,2017-10-14 11:58:58,4098500.95506214
63,2017-10-14 15:29:30,2017-10-14 15:46:50,1815529.0853622123
64,2017-10-14 18:07:12,2017-10-14 20:20:54,11334614.120878685
65,2017-10-15 09:05:59,2017-10-15 09:37:54,2309208.7532608826
66,2017-10-15 12:26:12,2017-10-15 14:09:29,6256549.319943216
67,2017-10-15 14:59:26,2017-10-15 16:04:35,3136504.3892629044
68,2017-10-15 16:36:26,2017-10-15 17:17:07,7279792.104667301
69,2017-10-15 17:59:42,2017-10-15 19:02:21,5031028.898745766
70,2017-10-16 06:06:43,2017-10-16 06:22:00,1824772.0667926965
71,2017-10-16 07:45:22,2017-10-16 08:17:36,2369027.4411415868
72,2017-10-16 09:20:06,2017-10-16 09:29:57,874973.5503500814
73,2017-10-16 10:53:41,2017-10-16 10:59:31,456164.55540347076
74,2017-10-16 17:59:13,2017-10-16 18:45:28,2792898.9191468516
75,2017-10-16 20:15:03,2017-10-16 20:48:43,3665023.2745317644
76,2017-10-17 18:17:07,2017-10-17 19:19:17,4624883.4718380375
77,2017-10-17 20:04:11,2017-10-17 20:52:55,1351150.454759896
78,2017-10-18 10:44:12,2017-10-18 12:07:37,4693793.183235196
79,2017-10-18 13:04:17,2017-10-18 13:32:43,1786153.9901564252
80,2017-10-18 15:56:54,2017-10-18 16:34:40,8018109.006782453
81,2017-10-18 18:18:16,2017-10-18 19:47:58,8473175.296046814
82,2017-10-18 20:22:24,2017-10-18 20:44:50,1449567.0117093709
83,2017-10-19 11:39:13,2017-10-19 11:59:06,2018673.8480974804
84,2017-10-19 15:33:39,2017-10-19 15:56:47,1876586.6945901432
85,2017-10-19 17:22:15,2017-10-19 18:23:45,3037301.930318544
86,2017-10-19 20:46:02,2017-10-19 21:10:13,3432988.762156606
87,2017-10-19 22:11:08,2017-10-19 22:32:43,3199942.074868772
88,2017-10-20 08:46:24,2017-10-20 08:58:26,679095.8920772882
89,2017-10-20 09:44:51,2017-10-20 09:57:14,1167422.5096452313
90,2017-10-20 12:15:15,2017-10-20 12:32:47,1575849.7995812779
91,2017-10-20 18:15:25,2017-10-20 18:33:36,1901448.592399497
92,2017-10-20 21:52:59,2017-10-20 22:07:23,1793006.2184039636
93,2017-10-21 10:05:20,2017-10-21 11:22:40,8079970.580571142
94,2017-10-21 11:56:20,2017-10-21 13:47:18,8357250.152640724
95,2017-10-21 14:41:23,2017-10-21 14:54:52,1599946.2119348275
96,2017-10-21 19:26:59,2017-10-21 20:55:59,10165971.018035656
97,2017-10-22 11:29:17,2017-10-22 12:21:58,3415832.03356453
98,2017-10-22 13:11:36,2017-10-22 13:27:18,1434515.5840369512
99,2017-10-22 15:57:30,2017-10-22 17:12:12,9289514.104625827
100,2017-10-22 18:17:04,2017-10-22 19:38:56,10129022.576557763
101,2017-10-23 08:06:13,2017-10-23 08:52:28,1558322.2430984327
