start,energy(J)
2017-09-25,1241572.7166246967
2017-09-26,7401860.290255941
2017-09-27,8711760.892378103
2017-09-28,4475211.300489923
2017-09-29,18012724.11213951
2017-09-30,78361498.68130568
2017-10-01,3167009.3237099405
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-07,6434687.74075941
2017-10-08,24580047.578896187
2017-10-09,25422603.632299345
2017-10-10,13761244.63489782
2017-10-11,14188547.02056235
2017-10-12,24117510.778960213
2017-10-13,20875900.622685295
2017-10-14,17248644.161303036
2017-10-15,24013083.465880074
2017-10-16,11982859.807366451
2017-10-17,5976033.926597933
2017-10-18,24420798.48793026
2017-10-19,13565493.310031546
2017-10-20,7116823.012107259
2017-10-21,28203137.963182352
2017-10-22,24268884.29878507
2017-10-23,2514082.0327273393
2017-10-24,4943034.157110912
2017-10-25,7996509.857963229
2017-10-26,24560362.815937098
2017-10-27,8527484.512686923
2017-10-28,53726162.104868494
2017-10-29,19046542.532840185
2017-10-30,7608778.249534618
2017-10-31,24941160.7047487
2017-11-01,8096859.337171365
2017-11-02,25170164.467521857
2017-11-03,19547784.162135385
2017-11-04,35073066.81279491
2017-11-05,33276300.78223872
2017-11-06,142820627.86386204
2017-11-07,7374280.4380308185
2017-11-08,7670265.347149339
2017-11-09,3709323.2903114213
2017-11-10,6618374.848028602
2017-11-11,93809697.8870015
2017-11-12,8732621.327910453
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,3138499.140832631
2017-11-16,7316348.504552742
2017-11-17,68579076.12972519
2017-11-18,98762381.14132598
2017-11-19,18448016.026000973
2017-11-20,9573522.053878888
2017-11-21,34998504.91062957
2017-11-22,119872012.54174986
2017-11-23,0.0
2017-11-24,41491844.8769899
2017-11-25,160535963.21163332
2017-11-26,0.0
2017-11-27,0.0
2017-11-28,0.0
2017-11-29,1080075.2426502146
2017-11-30,5657082.1746583525
2017-12-01,7173744.625840024
2017-12-02,17813865.403341398
2017-12-03,23830591.394828584
2017-12-04,5315046.071029221
2017-12-05,7930397.9819783475
2017-12-06,3965774.847455467
2017-12-07,27261920.7219293
2017-12-08,9147121.729896486
2017-12-09,133108646.084775
2017-12-10,0.0
2017-12-11,6303572.737021775
2017-12-12,4691632.225600596
2017-12-13,17238068.569258694
2017-12-14,16450351.029836763
2017-12-15,7119021.295274168
2017-12-16,30161804.871781163
2017-12-17,11135849.064195115
2017-12-18,5221563.04499938
2017-12-19,11435877.755128676
2017-12-20,23281667.16931208
2017-12-21,2393091.3506020997
2017-12-22,26917498.423702687
2017-12-23,25093823.651724387
2017-12-24,15145688.15174742
2017-12-25,15232904.61540195
2017-12-26,20627799.78270457
2017-12-27,29271164.238432966
2017-12-28,34367636.947390445
2017-12-29,7942682.96742203
2017-12-30,21597847.435259268
2017-12-31,18263101.47646442
