,index,Power,time_stamp
0,19196,3540.057092473118,2019-10-04 02:30:00
1,19197,3540.0599236559137,2019-10-04 02:30:00
2,19198,3540.062753763441,2019-10-04 02:30:00
3,19199,3540.065586021505,2019-10-04 02:30:00
4,19200,3540.068417204301,2019-10-04 02:30:00
5,19201,3540.071248387096,2019-10-04 02:30:00
6,19202,3540.0740795698925,2019-10-04 02:30:00
7,19203,3540.0769118279572,2019-10-04 02:30:00
8,19204,3540.0797430107523,2019-10-04 02:30:00
9,19205,3540.082575268817,2019-10-04 02:30:00
10,19206,3540.085407526881,2019-10-04 02:30:00
11,19207,3540.0882397849464,2019-10-04 02:30:00
12,19208,3540.0910720430106,2019-10-04 02:30:00
13,19209,3540.093904301075,2019-10-04 02:30:00
14,19210,3540.0967365591396,2019-10-04 02:30:00
15,19211,3540.099568817204,2019-10-04 02:30:00
16,19212,3540.1024021505377,2019-10-04 02:30:00
17,19213,3540.105234408602,2019-10-04 02:30:00
18,19214,3540.1080677419354,2019-10-04 02:30:00
19,19215,3540.1109010752684,2019-10-04 02:30:00
20,19216,3540.1137333333327,2019-10-04 02:30:00
21,19217,3540.1165666666666,2019-10-04 02:30:00
22,19218,3540.1194,2019-10-04 02:30:00
23,19219,3540.122233333333,2019-10-04 02:30:00
24,19220,3540.1250677419353,2019-10-04 02:30:00
25,19221,3540.1279010752687,2019-10-04 02:30:00
26,19222,3540.1307344086017,2019-10-04 02:30:00
27,19223,3540.1335688172044,2019-10-04 02:30:00
28,19224,3540.1364032258066,2019-10-04 02:30:00
29,19225,3540.1392365591396,2019-10-04 02:30:00
30,19226,3540.142070967742,2019-10-04 02:30:00
31,19227,3540.144905376344,2019-10-04 02:30:00
32,19228,3540.147739784946,2019-10-04 02:30:00
33,19229,3540.150574193548,2019-10-04 02:30:00
34,19230,3540.153409677419,2019-10-04 02:30:00
35,19231,3540.156244086021,2019-10-04 02:30:00
36,19232,3540.1590784946234,2019-10-04 02:30:00
37,19233,3540.161913978495,2019-10-04 02:30:00
38,19234,3540.1647494623658,2019-10-04 02:30:00
39,19235,3540.1675838709675,2019-10-04 02:30:00
40,19236,3540.1704193548385,2019-10-04 02:30:00
41,19237,3540.1732548387095,2019-10-04 02:30:00
42,19238,3540.1760903225804,2019-10-04 02:30:00
43,19239,3540.17892688172,2019-10-04 02:30:00
44,19240,3540.1817623655916,2019-10-04 02:30:00
45,19241,3540.1845978494625,2019-10-04 02:30:00
46,19242,3540.1874344086023,2019-10-04 02:30:00
47,19243,3540.190270967742,2019-10-04 02:30:00
48,19244,3540.193106451613,2019-10-04 02:30:00
49,19245,3540.1959430107527,2019-10-04 02:30:00
50,19246,3540.1987795698924,2019-10-04 02:30:00
51,19247,3540.201616129032,2019-10-04 02:30:00
52,19248,3540.204452688172,2019-10-04 02:30:00
53,19249,3540.207290322581,2019-10-04 02:30:00
54,19250,3540.2101268817205,2019-10-04 02:30:00
55,19251,3540.2129645161285,2019-10-04 02:30:00
56,19252,3540.2158010752682,2019-10-04 02:30:00
57,19253,3540.218638709677,2019-10-04 02:30:00
58,19254,3540.2214763440857,2019-10-04 02:30:00
59,19255,3540.2243139784946,2019-10-04 02:30:00
60,19256,3540.227151612903,2019-10-04 02:30:00
61,19257,3540.2299892473116,2019-10-04 02:30:00
62,19258,3540.2328268817205,2019-10-04 02:30:00
63,19259,3540.235664516129,2019-10-04 02:30:00
64,19260,3540.2385032258057,2019-10-04 02:30:00
65,19261,3540.2413408602147,2019-10-04 02:30:00
66,19262,3540.2441795698924,2019-10-04 02:30:00
67,19263,3540.2470182795696,2019-10-04 02:30:00
68,19264,3540.2498569892473,2019-10-04 02:30:00
69,19265,3540.2526956989245,2019-10-04 02:30:00
70,19266,3540.2555344086018,2019-10-04 02:30:00
71,19267,3540.2583731182795,2019-10-04 02:30:00
72,19268,3540.2612118279567,2019-10-04 02:30:00
73,19269,3540.264051612903,2019-10-04 02:30:00
74,19270,3540.2668903225804,2019-10-04 02:30:00
75,19271,3540.2697301075264,2019-10-04 02:30:00
76,19272,3540.272569892473,2019-10-04 02:30:00
77,19273,3540.2754096774192,2019-10-04 02:30:00
78,19274,3540.2782494623652,2019-10-04 02:30:00
79,19275,3540.2810892473117,2019-10-04 02:30:00
80,19276,3540.283929032258,2019-10-04 02:30:00
81,19277,3540.286768817204,2019-10-04 02:30:00
82,19278,3540.2896096774193,2019-10-04 02:30:00
