sampno,vehno
7156986,2.0
7156986,3.0
7157693,1.0
7158808,1.0
7158808,2.0
7158870,1.0
7158870,2.0
7159089,1.0
7159089,2.0
7160186,1.0
7160186,2.0
7163193,1.0
7163193,2.0
7163480,1.0
7163480,2.0
7163555,1.0
7163889,1.0
7163889,2.0
7163889,3.0
7163889,4.0
7164822,1.0
7164822,2.0
7165540,1.0
7165540,2.0
7168791,1.0
7168791,2.0
7168791,3.0
7168963,1.0
7168963,2.0
7168963,3.0
7169214,1.0
7169214,2.0
7169686,1.0
7169686,2.0
7169686,3.0
7169816,1.0
7169816,2.0
7169816,3.0
7170782,1.0
7170790,1.0
7171285,1.0
7171285,2.0
7171285,3.0
7171285,4.0
7174066,1.0
7174066,2.0
7175017,1.0
7175017,2.0
7176763,1.0
7176763,2.0
7177639,1.0
7177639,2.0
7178653,1.0
7178838,1.0
7178838,2.0
7178866,1.0
7178969,1.0
7178984,1.0
7178984,2.0
7179168,1.0
7179168,2.0
7179559,1.0
7179559,2.0
7179559,3.0
7180135,1.0
7180135,2.0
7180135,3.0
7181182,1.0
7181182,2.0
7181297,1.0
7181297,2.0
7181297,3.0
7181417,1.0
7184251,1.0
7184251,2.0
7184728,1.0
7184728,2.0
7184728,3.0
7184736,1.0
7184736,2.0
7185091,1.0
7185091,2.0
7185091,3.0
7185091,4.0
7187026,1.0
7187026,2.0
7187026,3.0
7187026,4.0
7187026,5.0
7187026,6.0
7187843,1.0
7187843,2.0
7187978,1.0
7187978,2.0
7187978,3.0
7187990,1.0
7187990,2.0
7187990,3.0
7188018,1.0
7188018,2.0
7188018,3.0
7188090,1.0
7188090,2.0
7188114,1.0
7188114,2.0
7188232,1.0
7188232,2.0
7188232,3.0
7188234,1.0
7188234,2.0
7188280,1.0
7188901,1.0
7188901,2.0
7189782,1.0
7190323,1.0
7190323,2.0
7190323,3.0
7190323,4.0
7191583,1.0
7191595,1.0
7191723,1.0
7191723,2.0
7191723,3.0
7191987,1.0
7191987,2.0
7191987,3.0
7192428,1.0
7192428,2.0
7192761,1.0
7192761,2.0
7192817,1.0
7192817,2.0
7192817,3.0
7192873,1.0
7192873,2.0
7192873,3.0
7192873,4.0
7195153,1.0
7195153,2.0
7195153,3.0
7196238,1.0
7196238,2.0
7197758,1.0
7197758,2.0
7197758,3.0
7198824,1.0
7198824,2.0
7199303,1.0
7199303,2.0
7199332,1.0
7199332,2.0
7199353,1.0
7199353,2.0
7199353,3.0
7199674,1.0
7199674,2.0
7199674,3.0
7202904,1.0
7202904,2.0
7202904,3.0
7203110,1.0
7203110,2.0
7203110,3.0
7203319,1.0
7203434,1.0
7203602,1.0
7203602,2.0
7203602,3.0
7203602,4.0
7204165,1.0
7204165,2.0
7205504,1.0
7205976,1.0
7205976,2.0
7206204,1.0
7206204,2.0
7206657,1.0
7206657,2.0
7206780,1.0
7206780,2.0
7206780,3.0
7207037,1.0
7207037,2.0
7208369,1.0
7208971,1.0
7208971,2.0
7210408,1.0
7210408,2.0
7211798,1.0
7211798,2.0
1033660,1.0
1037895,1.0
1039620,1.0
1041766,1.0
1041766,2.0
1051649,1.0
1051649,2.0
1051649,3.0
1051649,4.0
1061378,1.0
1061378,2.0
1070161,1.0
1070161,2.0
1098148,1.0
1098148,2.0
1119112,1.0
1119112,2.0
1120071,1.0
1120459,1.0
1120459,2.0
1120835,1.0
1120835,2.0
1120935,1.0
1120935,2.0
1121077,1.0
1121077,2.0
1121862,1.0
1121862,2.0
1123142,1.0
1123142,2.0
1124202,1.0
1124202,2.0
1124315,1.0
1124736,1.0
1124787,1.0
1124787,2.0
1124957,1.0
1124990,1.0
1124990,2.0
1124990,3.0
1125926,1.0
1125926,2.0
1126522,1.0
1126522,2.0
1126849,1.0
1127714,1.0
1127714,2.0
1128201,1.0
1128201,2.0
1128248,1.0
1128248,2.0
1128248,3.0
1128330,1.0
1128330,2.0
1128330,3.0
1128394,1.0
1128720,1.0
1128720,2.0
1128762,1.0
1128762,2.0
1130487,1.0
1130487,2.0
1131308,1.0
1131548,1.0
1132059,1.0
1132059,2.0
1132519,1.0
1132519,2.0
1133545,1.0
1133545,2.0
1134039,1.0
1134065,1.0
1134065,2.0
1134065,3.0
1135078,1.0
1135187,1.0
1135291,1.0
1135291,2.0
1135291,3.0
1135630,1.0
1135802,1.0
1135802,2.0
1135802,3.0
1135876,1.0
1135876,2.0
1135876,3.0
1135876,4.0
1136495,1.0
1137220,1.0
1137220,2.0
1137301,1.0
1137908,1.0
1138054,1.0
1138151,1.0
1138151,2.0
1138151,3.0
1138391,1.0
1138464,1.0
1138464,2.0
1138853,1.0
1138853,2.0
1139221,1.0
1139291,1.0
1139311,1.0
1139416,1.0
1139583,1.0
1139583,2.0
1139794,1.0
1139794,2.0
1140006,1.0
1140006,2.0
1140006,3.0
1140168,1.0
1140168,2.0
1140624,1.0
1140874,1.0
1141053,1.0
1141053,2.0
1141053,3.0
1141053,4.0
1141249,1.0
1141249,2.0
1141249,3.0
1141602,1.0
1141606,1.0
1141606,2.0
1141606,3.0
1142183,1.0
1142183,2.0
1142269,1.0
1142269,2.0
1142708,1.0
1142708,2.0
1142988,1.0
1142988,2.0
1142988,3.0
1143360,1.0
1144036,1.0
1144036,2.0
1144062,1.0
1144062,2.0
1144062,3.0
1144704,1.0
1144704,2.0
1144932,1.0
1144932,2.0
1145425,1.0
1145425,2.0
1145425,3.0
1145776,1.0
1145776,2.0
1146041,1.0
1146041,2.0
1146311,1.0
1146601,1.0
1146756,1.0
1146756,2.0
1147026,1.0
1147026,2.0
1147026,3.0
1147026,4.0
1147365,1.0
1147365,2.0
1147393,1.0
1147393,2.0
1147393,3.0
1147504,1.0
1147504,2.0
1147504,3.0
1147726,1.0
1147813,1.0
1147813,2.0
1148553,1.0
1148553,2.0
1148819,1.0
1148819,2.0
1148819,3.0
1149068,1.0
1149141,1.0
1149141,2.0
1149246,1.0
1149246,2.0
1149386,1.0
1149386,2.0
1149386,3.0
1149392,1.0
1149392,2.0
1149862,1.0
1149862,2.0
1150039,1.0
1150537,1.0
1150663,1.0
1150853,1.0
1150863,1.0
1150863,2.0
1150984,1.0
1150984,2.0
1151065,1.0
1151065,2.0
1151065,3.0
1151794,1.0
1151794,2.0
1152211,1.0
1152429,1.0
1152429,2.0
1152800,1.0
1152800,2.0
1153006,1.0
1153015,1.0
1153015,2.0
1153183,1.0
1153183,2.0
1153284,1.0
1153284,2.0
1154218,1.0
1154218,2.0
1154699,1.0
1154990,1.0
1154990,2.0
1155032,1.0
1155258,1.0
1155258,2.0
1155663,1.0
1155663,2.0
1155663,3.0
1155803,1.0
1155945,1.0
1155952,1.0
1155952,2.0
1156144,1.0
1156218,1.0
1156340,1.0
1156831,1.0
1157864,1.0
1157864,2.0
1157906,1.0
1157906,2.0
1157928,1.0
1157928,2.0
1158234,1.0
1158234,2.0
1158234,3.0
1158897,1.0
1159125,1.0
1159125,2.0
1159125,3.0
1159125,4.0
1159701,1.0
1159701,2.0
1159701,3.0
1159832,1.0
1159905,1.0
1160166,1.0
1160166,2.0
1160434,1.0
1160434,2.0
1160453,1.0
1160453,2.0
1160493,1.0
1160581,1.0
1160709,1.0
1161351,1.0
1161351,2.0
1161903,1.0
1161903,2.0
1885218,3.0
1162229,1.0
1162229,2.0
1162520,1.0
1163134,1.0
1163134,2.0
1163147,1.0
1163147,2.0
1163459,1.0
1163459,2.0
1163459,3.0
1163459,4.0
1163774,1.0
1163774,2.0
1163774,3.0
1163774,4.0
1163852,1.0
1163852,2.0
1164304,1.0
1164623,1.0
1165439,1.0
1165439,2.0
1165665,1.0
1165665,2.0
1165665,3.0
1165665,4.0
1165665,5.0
1166240,1.0
1166299,1.0
1166433,1.0
1166433,2.0
1166584,1.0
1167657,1.0
1167674,1.0
1167674,2.0
1167934,1.0
1167934,2.0
1167935,1.0
1167935,2.0
1167952,1.0
1167952,2.0
1167956,1.0
1168320,1.0
1168320,2.0
1168528,1.0
1168572,1.0
1169372,1.0
1169372,2.0
1169576,1.0
1169576,2.0
1169654,1.0
1169654,2.0
1169881,1.0
1169881,2.0
1169881,3.0
1170224,1.0
1170224,2.0
1170481,1.0
1170481,2.0
1170681,1.0
1170845,1.0
1170845,2.0
1171267,1.0
1171267,2.0
1171267,3.0
1171267,4.0
1174137,1.0
1174160,1.0
1174160,2.0
1174315,1.0
1174315,2.0
1174315,3.0
1174315,4.0
1174563,1.0
1175309,1.0
1175309,2.0
1175309,3.0
1175484,1.0
1175484,2.0
1186814,1.0
1186814,2.0
1189502,1.0
1189502,2.0
1194850,1.0
1194850,2.0
1194850,3.0
1196254,1.0
1196254,2.0
1204247,1.0
1204247,2.0
1212471,1.0
1212549,1.0
1212549,2.0
1223172,1.0
1234388,1.0
1234388,2.0
1236363,1.0
1236363,2.0
1238983,1.0
1238983,2.0
1238983,3.0
1244027,1.0
1244027,2.0
1250861,1.0
1250861,2.0
1250861,3.0
1251576,1.0
1251576,2.0
1257080,1.0
1257080,2.0
1260320,1.0
1260320,2.0
1272132,1.0
1272132,2.0
1272132,3.0
1273389,1.0
1273389,2.0
1278883,1.0
1278883,2.0
1279531,1.0
1279975,1.0
1279975,2.0
1279975,3.0
1285702,1.0
1285702,2.0
1286882,1.0
1286882,2.0
1295880,1.0
1295880,2.0
1298945,1.0
1298945,2.0
1299790,1.0
1299790,2.0
1299790,3.0
1310943,1.0
1310943,2.0
1313990,1.0
1313990,2.0
1314069,1.0
1314069,2.0
1314636,1.0
1314636,2.0
1314738,1.0
1315707,1.0
1320761,1.0
1321010,1.0
1325645,1.0
1328119,1.0
1332121,1.0
1332121,2.0
1332121,3.0
1332873,1.0
1334644,1.0
1334644,2.0
1336279,1.0
1337344,1.0
1337688,1.0
1337688,2.0
1338349,1.0
1338349,2.0
1338349,3.0
1338416,1.0
1338534,1.0
1339132,1.0
1339132,2.0
1340013,1.0
1340845,1.0
1340845,2.0
1340932,1.0
1341037,1.0
1341037,2.0
1341204,1.0
1341204,2.0
1341363,1.0
1342315,1.0
1342315,2.0
1343847,1.0
1344662,1.0
1344769,1.0
1345743,1.0
1345775,1.0
1345775,2.0
1346810,1.0
1346810,2.0
1347130,1.0
1347130,2.0
