sampno,vehno,travel_date
1139422,1,2012-04-09
2653286,1,2012-11-14
1718977,1,2012-08-09
1354121,1,2012-06-26
2183489,1,2012-09-18
2592356,1,2012-10-11
1236363,2,2012-03-11
2661241,2,2012-11-27
2653286,1,2012-11-10
1256261,1,2012-02-20
2661241,1,2012-11-28
1708202,2,2012-09-04
2017211,1,2012-10-20
1119821,1,2012-02-04
2143135,1,2012-11-08
1144043,1,2012-04-10
1236363,2,2012-03-07
3052193,1,2013-01-09
1339275,1,2012-05-19
1139818,1,2012-03-10
1729827,1,2012-06-14
1123111,1,2012-04-18
2537814,1,2012-12-11
2246360,1,2012-09-01
1757501,2,2012-06-06
2022086,1,2012-07-24
1375576,2,2012-07-03
2601214,2,2012-09-27
2578322,1,2012-10-08
1159003,1,2012-02-16
1186814,1,2012-03-16
1151498,1,2012-04-01
2949525,1,2013-01-03
7202124,1,2013-01-25
1730973,2,2012-07-28
1154089,1,2012-05-15
1208803,2,2012-02-26
1458064,1,2012-04-26
2236435,1,2012-07-06
1746498,2,2012-06-14
2045730,1,2012-11-07
2264830,1,2012-07-25
2115522,1,2012-10-29
2118071,2,2012-10-08
2253778,1,2012-11-05
2195580,1,2012-10-10
1119070,1,2012-02-02
1909198,1,2012-07-11
1152646,1,2012-02-19
2826327,1,2013-01-11
2783063,1,2012-12-10
2246360,2,2012-08-31
2611413,2,2012-10-30
2267804,2,2012-09-19
2264830,2,2012-07-29
1725871,2,2012-06-24
1158552,1,2012-04-12
2246360,3,2012-09-03
1295325,1,2012-02-10
2926552,3,2012-12-30
1137549,2,2012-02-13
7209067,2,2013-01-30
2658298,1,2012-10-28
2016749,1,2012-08-02
2252043,1,2012-11-10
1135438,2,2012-02-14
2498788,1,2012-09-23
2281511,2,2012-07-14
1433441,1,2012-03-25
1156622,1,2012-04-12
1687233,1,2012-08-15
1773708,1,2012-06-11
2526824,1,2012-10-29
2487482,2,2012-09-21
1144043,1,2012-04-11
2665232,1,2012-09-25
1240624,1,2012-03-17
7203896,1,2013-01-17
7204239,1,2013-01-16
1131660,1,2012-03-06
2642276,4,2012-11-21
3022385,1,2012-12-27
2576484,1,2012-11-04
1224932,2,2012-03-13
2527998,2,2013-01-10
2131756,2,2012-10-09
7202261,1,2013-01-20
2527373,1,2012-11-21
2218485,1,2012-07-04
2103754,2,2012-09-07
1333141,1,2012-03-15
1763198,1,2012-06-12
1035198,3,2012-05-26
2665232,1,2012-09-26
1235282,2,2012-03-04
2552032,1,2012-09-29
2650170,2,2012-10-28
1119821,2,2012-02-08
1680876,2,2012-06-13
1150191,1,2012-04-20
2145125,1,2012-10-09
2653286,1,2012-11-13
2552832,2,2012-11-27
2487482,2,2012-09-20
2697790,1,2013-01-19
1143815,1,2012-04-10
2646999,1,2012-11-22
7201245,1,2013-01-12
2926552,2,2012-12-31
2093623,1,2012-10-27
1319784,2,2012-02-28
1140735,2,2012-02-09
1210204,1,2012-03-17
2094759,1,2012-10-07
1726782,3,2012-07-01
3022385,1,2012-12-31
1339275,1,2012-05-22
1771038,2,2012-06-19
1375576,2,2012-07-04
1134470,1,2012-04-16
1976414,2,2012-07-22
2171118,1,2012-10-17
1152646,2,2012-02-21
1707867,1,2012-07-19
1224932,1,2012-03-15
1699031,2,2012-06-06
2510248,2,2012-09-27
1466133,2,2012-03-30
2045730,1,2012-11-05
2171118,2,2012-10-22
2654851,3,2012-11-17
2061644,1,2012-07-02
2611413,2,2012-10-31
2577440,1,2012-12-12
1532601,2,2012-05-05
1687233,1,2012-08-11
3029527,1,2013-01-23
2951975,1,2012-12-11
2718575,1,2013-01-08
2959995,1,2012-12-21
1153250,1,2012-02-25
1153250,1,2012-02-26
2967627,2,2013-01-21
2592356,1,2012-10-16
1156732,2,2012-02-18
1240624,1,2012-03-19
2179333,1,2012-10-22
1150104,1,2012-04-23
