time_stamp,Power
2019-10-13 04:05:00,3455.8659643103447
2019-10-13 04:10:00,3459.3580828700005
2019-10-13 04:15:00,3464.394187723333
2019-10-13 04:20:00,3468.989418776666
2019-10-13 04:25:00,3473.200250616668
2019-10-13 04:30:00,
2019-10-13 04:35:00,
2019-10-13 04:40:00,
2019-10-13 04:45:00,
2019-10-13 04:50:00,
2019-10-13 04:55:00,
2019-10-13 05:00:00,
2019-10-13 05:05:00,
2019-10-13 05:10:00,
2019-10-13 05:15:00,
2019-10-13 05:20:00,
2019-10-13 05:25:00,
2019-10-13 05:30:00,3477.073958100001
2019-10-13 05:35:00,3480.650419996668
2019-10-13 05:40:00,3483.963514586666
2019-10-13 05:45:00,3487.0422110133322
2019-10-13 05:50:00,3489.911430783333
2019-10-13 05:55:00,3492.592734680001
2019-10-13 06:00:00,3495.104874476665
2019-10-13 06:05:00,3497.4642394266666
2019-10-13 06:10:00,3499.6852211666665
2019-10-13 06:15:00,3501.7805130633346
2019-10-13 06:20:00,3503.7613571099982
2019-10-13 06:25:00,3505.637750749999
2019-10-13 06:30:00,
2019-10-13 06:35:00,
2019-10-13 06:40:00,
2019-10-13 06:45:00,
2019-10-13 06:50:00,
2019-10-13 06:55:00,
2019-10-13 07:00:00,3507.4186180700035
2019-10-13 07:05:00,3509.1119548933325
2019-10-13 07:10:00,3510.724951443333
2019-10-13 07:15:00,3512.26409622
2019-10-13 07:20:00,3513.7352646400004
2019-10-13 07:25:00,3515.1437957999988
