timestamps,response,length,service
2019-09-27 17:19:59.908849955+01:00,4,3,1
2019-09-27 17:19:59.929250002+01:00,4,4,1
2019-09-27 17:19:59.948899984+01:00,4,3,1
2019-09-27 17:19:59.988899946+01:00,4,3,1
2019-09-27 17:20:00.029350042+01:00,4,4,1
2019-09-27 17:20:00.069200039+01:00,4,3,1
2019-09-27 17:20:00.109100103+01:00,4,3,1
2019-09-27 17:20:00.129199981+01:00,4,4,1
2019-09-27 17:20:00.149300098+01:00,4,3,1
2019-09-27 17:20:00.189100027+01:00,4,3,1
2019-09-27 17:20:00.229099989+01:00,4,4,1
2019-09-27 17:20:00.309099913+01:00,4,3,1
2019-09-27 17:20:00.329299927+01:00,4,4,1
2019-09-27 17:20:00.348949909+01:00,4,3,1
2019-09-27 17:20:00.389050007+01:00,4,3,1
2019-09-27 17:20:00.429100037+01:00,4,4,1
2019-09-27 17:20:00.509049891+01:00,4,3,1
2019-09-27 17:20:00.529299973+01:00,4,4,1
2019-09-27 17:20:00.549050093+01:00,4,3,1
2019-09-27 17:20:00.588999987+01:00,4,3,1
2019-09-27 17:20:00.629650116+01:00,4,4,1
2019-09-27 17:20:00.709650040+01:00,4,3,1
2019-09-27 17:20:00.729199886+01:00,4,4,1
2019-09-27 17:20:00.749799967+01:00,4,3,1
2019-09-27 17:20:00.789649963+01:00,4,3,1
2019-09-27 17:20:00.829400063+01:00,4,4,1
2019-09-27 17:20:00.909600019+01:00,4,3,1
2019-09-27 17:20:00.929150105+01:00,4,4,1
2019-09-27 17:20:00.949549913+01:00,4,3,1
2019-09-27 17:20:00.989399910+01:00,4,3,1
2019-09-27 17:20:01.030149937+01:00,4,4,1
2019-09-27 17:20:01.069400072+01:00,4,3,1
2019-09-27 17:20:01.109600067+01:00,4,3,1
2019-09-27 17:20:01.129600048+01:00,4,4,1
2019-09-27 17:20:01.149549961+01:00,4,3,1
2019-09-27 17:20:01.189399958+01:00,4,3,1
2019-09-27 17:20:01.229350090+01:00,4,4,1
2019-09-27 17:20:01.309400082+01:00,4,3,1
2019-09-27 17:20:01.329400063+01:00,4,4,1
2019-09-27 17:20:01.349499941+01:00,4,3,1
2019-09-27 17:20:01.389349937+01:00,4,3,1
2019-09-27 17:20:01.429399967+01:00,4,4,1
2019-09-27 17:20:01.509299994+01:00,4,3,1
2019-09-27 17:20:01.529150009+01:00,4,4,1
2019-09-27 17:20:01.549849987+01:00,4,3,1
2019-09-27 17:20:01.589400053+01:00,4,3,1
2019-09-27 17:20:01.629600048+01:00,4,4,1
2019-09-27 17:20:01.709850073+01:00,4,3,1
2019-09-27 17:20:01.729199886+01:00,4,4,1
2019-09-27 17:20:01.749249935+01:00,4,3,1
2019-09-27 17:20:01.789099932+01:00,4,3,1
2019-09-27 17:20:01.829299927+01:00,4,4,1
2019-09-27 17:20:01.904949903+01:00,4,3,1
2019-09-27 17:20:01.929450035+01:00,4,4,1
2019-09-27 17:20:01.949500084+01:00,4,3,1
2019-09-27 17:20:01.989399910+01:00,4,3,1
2019-09-27 17:20:02.029350042+01:00,4,4,1
2019-09-27 17:20:02.069350004+01:00,4,3,1
2019-09-27 17:20:02.109400034+01:00,4,3,1
2019-09-27 17:20:02.129699945+01:00,4,4,1
2019-09-27 17:20:02.149549961+01:00,4,3,1
2019-09-27 17:20:02.189349890+01:00,4,3,1
2019-09-27 17:20:02.229700089+01:00,4,4,1
2019-09-27 17:20:02.309499979+01:00,4,3,1
2019-09-27 17:20:02.329400063+01:00,4,4,1
2019-09-27 17:20:02.349550009+01:00,4,3,1
2019-09-27 17:20:02.389349937+01:00,4,3,1
2019-09-27 17:20:02.429450035+01:00,4,4,1
2019-09-27 17:20:02.509350061+01:00,4,3,1
2019-09-27 17:20:02.529700041+01:00,4,4,1
2019-09-27 17:20:02.549550056+01:00,4,3,1
2019-09-27 17:20:02.589299917+01:00,4,3,1
2019-09-27 17:20:02.629750013+01:00,4,4,1
2019-09-27 17:20:02.709399939+01:00,4,3,1
2019-09-27 17:20:02.729749918+01:00,4,4,1
2019-09-27 17:20:02.749500036+01:00,4,3,1
2019-09-27 17:20:02.789350033+01:00,4,3,1
2019-09-27 17:20:02.829400063+01:00,4,4,1
2019-09-27 17:20:02.909100056+01:00,4,3,1
2019-09-27 17:20:02.929450035+01:00,4,4,1
2019-09-27 17:20:02.949399948+01:00,4,3,1
2019-09-27 17:20:02.989049911+01:00,4,3,1
2019-09-27 17:20:03.029449940+01:00,4,4,1
2019-09-27 17:20:03.069449902+01:00,4,3,1
2019-09-27 17:20:03.109149933+01:00,4,3,1
2019-09-27 17:20:03.129899979+01:00,4,4,1
2019-09-27 17:20:03.149549961+01:00,4,3,1
2019-09-27 17:20:03.189100027+01:00,4,3,1
2019-09-27 17:20:03.230050087+01:00,4,4,1
2019-09-27 17:20:03.309149981+01:00,4,3,1
2019-09-27 17:20:03.329499960+01:00,4,4,1
2019-09-27 17:20:03.349299908+01:00,4,3,1
2019-09-27 17:20:03.389149904+01:00,4,3,1
2019-09-27 17:20:03.429549932+01:00,4,4,1
2019-09-27 17:20:03.509150028+01:00,4,3,1
