timestamps,S1_PID_0B_IntakeManiAbsPress
2019-09-27 17:19:59.908849955+01:00,28
2019-09-27 17:20:00.109100103+01:00,28
2019-09-27 17:20:00.309099913+01:00,28
2019-09-27 17:20:00.509049891+01:00,28
2019-09-27 17:20:00.709650040+01:00,28
2019-09-27 17:20:00.909600019+01:00,28
2019-09-27 17:20:01.109600067+01:00,28
2019-09-27 17:20:01.309400082+01:00,28
2019-09-27 17:20:01.509299994+01:00,28
2019-09-27 17:20:01.709850073+01:00,28
2019-09-27 17:20:01.904949903+01:00,28
2019-09-27 17:20:02.109400034+01:00,28
2019-09-27 17:20:02.309499979+01:00,28
2019-09-27 17:20:02.509350061+01:00,28
2019-09-27 17:20:02.709399939+01:00,28
2019-09-27 17:20:02.909100056+01:00,28
2019-09-27 17:20:03.109149933+01:00,28
2019-09-27 17:20:03.309149981+01:00,28
2019-09-27 17:20:03.509150028+01:00,28
2019-09-27 17:20:03.709150076+01:00,28
2019-09-27 17:20:03.909650087+01:00,28
2019-09-27 17:20:04.109200001+01:00,28
2019-09-27 17:20:04.309350014+01:00,28
2019-09-27 17:20:04.505199909+01:00,28
2019-09-27 17:20:04.709399939+01:00,28
2019-09-27 17:20:04.909499884+01:00,28
2019-09-27 17:20:05.109250069+01:00,28
2019-09-27 17:20:05.309499979+01:00,28
2019-09-27 17:20:05.509299994+01:00,28
2019-09-27 17:20:05.709300041+01:00,28
2019-09-27 17:20:05.909349918+01:00,28
2019-09-27 17:20:06.109400034+01:00,28
2019-09-27 17:20:06.309400082+01:00,28
2019-09-27 17:20:06.509449959+01:00,28
2019-09-27 17:20:06.705300093+01:00,28
2019-09-27 17:20:06.909650087+01:00,28
2019-09-27 17:20:07.109400034+01:00,28
2019-09-27 17:20:07.309449911+01:00,28
2019-09-27 17:20:07.509399891+01:00,28
2019-09-27 17:20:07.709599972+01:00,28
2019-09-27 17:20:07.909450054+01:00,28
2019-09-27 17:20:08.109450102+01:00,28
2019-09-27 17:20:08.309499979+01:00,28
2019-09-27 17:20:08.509550095+01:00,28
2019-09-27 17:20:08.709450006+01:00,28
2019-09-27 17:20:08.909499884+01:00,28
2019-09-27 17:20:09.109549999+01:00,28
2019-09-27 17:20:09.309550047+01:00,28
2019-09-27 17:20:09.509749888+01:00,28
2019-09-27 17:20:09.709549904+01:00,28
2019-09-27 17:20:09.909600019+01:00,28
2019-09-27 17:20:10.109600067+01:00,28
2019-09-27 17:20:10.309600115+01:00,28
2019-09-27 17:20:10.509649992+01:00,28
2019-09-27 17:20:10.709800005+01:00,28
2019-09-27 17:20:10.909749985+01:00,28
2019-09-27 17:20:11.109750032+01:00,28
2019-09-27 17:20:11.309950113+01:00,28
2019-09-27 17:20:11.510699986+01:00,28
2019-09-27 17:20:11.705300093+01:00,28
2019-09-27 17:20:11.909699917+01:00,28
2019-09-27 17:20:12.109999895+01:00,28
2019-09-27 17:20:12.309750080+01:00,28
2019-09-27 17:20:12.509850025+01:00,29
2019-09-27 17:20:12.709749937+01:00,29
2019-09-27 17:20:12.909950018+01:00,28
2019-09-27 17:20:13.109899998+01:00,28
2019-09-27 17:20:13.309799910+01:00,28
2019-09-27 17:20:13.509900093+01:00,28
2019-09-27 17:20:13.710000038+01:00,29
2019-09-27 17:20:13.909849882+01:00,28
2019-09-27 17:20:14.109999895+01:00,28
2019-09-27 17:20:14.309950113+01:00,28
2019-09-27 17:20:14.509900093+01:00,28
2019-09-27 17:20:14.705849886+01:00,29
2019-09-27 17:20:14.909899950+01:00,29
2019-09-27 17:20:15.110049963+01:00,28
2019-09-27 17:20:15.309950113+01:00,28
2019-09-27 17:20:15.510200024+01:00,28
2019-09-27 17:20:15.710000038+01:00,28
2019-09-27 17:20:15.910099983+01:00,28
2019-09-27 17:20:16.110100031+01:00,28
2019-09-27 17:20:16.311350107+01:00,28
2019-09-27 17:20:16.510050058+01:00,28
2019-09-27 17:20:16.710099936+01:00,28
2019-09-27 17:20:16.910049915+01:00,28
2019-09-27 17:20:17.110100031+01:00,28
2019-09-27 17:20:17.310199976+01:00,28
2019-09-27 17:20:17.510200024+01:00,28
2019-09-27 17:20:17.710200071+01:00,27
2019-09-27 17:20:17.910200119+01:00,27
2019-09-27 17:20:18.110150099+01:00,27
2019-09-27 17:20:18.310149908+01:00,27
2019-09-27 17:20:18.510149956+01:00,27
2019-09-27 17:20:18.710400105+01:00,27
2019-09-27 17:20:18.910449982+01:00,28
2019-09-27 17:20:19.110300064+01:00,28
2019-09-27 17:20:19.311450005+01:00,27
2019-09-27 17:20:19.510499954+01:00,27
2019-09-27 17:20:19.710249901+01:00,27
2019-09-27 17:20:19.910249949+01:00,26
2019-09-27 17:20:20.110549927+01:00,27
2019-09-27 17:20:20.310349941+01:00,27
2019-09-27 17:20:20.510400057+01:00,28
2019-09-27 17:20:20.710400105+01:00,28
2019-09-27 17:20:20.910500050+01:00,30
2019-09-27 17:20:21.110549927+01:00,38
2019-09-27 17:20:21.310450077+01:00,41
2019-09-27 17:20:21.510449885+01:00,40
2019-09-27 17:20:21.710350037+01:00,38
2019-09-27 17:20:21.910350084+01:00,38
2019-09-27 17:20:22.110399961+01:00,38
2019-09-27 17:20:22.310400009+01:00,38
2019-09-27 17:20:22.510449885+01:00,39
2019-09-27 17:20:22.710550070+01:00,38
2019-09-27 17:20:22.910449982+01:00,36
2019-09-27 17:20:23.106499910+01:00,35
2019-09-27 17:20:23.310499907+01:00,34
2019-09-27 17:20:23.510449885+01:00,34
2019-09-27 17:20:23.710500002+01:00,33
2019-09-27 17:20:23.910650015+01:00,33
2019-09-27 17:20:24.110549927+01:00,32
2019-09-27 17:20:24.310549974+01:00,32
2019-09-27 17:20:24.510550022+01:00,32
2019-09-27 17:20:24.710550070+01:00,32
2019-09-27 17:20:24.910550117+01:00,33
2019-09-27 17:20:25.110650063+01:00,34
2019-09-27 17:20:25.310650110+01:00,35
2019-09-27 17:20:25.510600089+01:00,35
2019-09-27 17:20:25.710649967+01:00,34
2019-09-27 17:20:25.910650015+01:00,35
2019-09-27 17:20:26.110699892+01:00,36
2019-09-27 17:20:26.310650110+01:00,36
2019-09-27 17:20:26.511049985+01:00,35
2019-09-27 17:20:26.710700035+01:00,35
2019-09-27 17:20:26.910700083+01:00,35
2019-09-27 17:20:27.110749960+01:00,34
2019-09-27 17:20:27.306349993+01:00,33
2019-09-27 17:20:27.510750055+01:00,33
2019-09-27 17:20:27.710799932+01:00,34
2019-09-27 17:20:27.910799980+01:00,33
2019-09-27 17:20:28.110850096+01:00,32
2019-09-27 17:20:28.310800076+01:00,34
2019-09-27 17:20:28.510849953+01:00,42
2019-09-27 17:20:28.710850+01:00,43
2019-09-27 17:20:28.910850048+01:00,42
2019-09-27 17:20:29.110899925+01:00,44
2019-09-27 17:20:29.310899973+01:00,44
2019-09-27 17:20:29.510900021+01:00,44
2019-09-27 17:20:29.710900068+01:00,43
2019-09-27 17:20:29.910900116+01:00,43
2019-09-27 17:20:50.908149958+01:00,25
2019-09-27 17:20:51.112499952+01:00,23
2019-09-27 17:20:51.312649965+01:00,22
2019-09-27 17:20:51.512500048+01:00,22
2019-09-27 17:20:51.712399960+01:00,22
2019-09-27 17:20:51.912600040+01:00,22
2019-09-27 17:20:52.112449884+01:00,25
2019-09-27 17:20:52.312449932+01:00,31
2019-09-27 17:20:52.513350010+01:00,37
2019-09-27 17:20:52.712500095+01:00,40
2019-09-27 17:20:52.912499905+01:00,40
2019-09-27 17:20:53.112550020+01:00,41
2019-09-27 17:20:53.312550068+01:00,41
2019-09-27 17:20:53.512550116+01:00,41
2019-09-27 17:20:53.712650061+01:00,40
2019-09-27 17:20:53.912699938+01:00,33
2019-09-27 17:20:54.112600088+01:00,29
2019-09-27 17:20:54.312700033+01:00,25
2019-09-27 17:20:54.512599944+01:00,22
2019-09-27 17:20:54.712599993+01:00,21
2019-09-27 17:20:54.912650108+01:00,21
2019-09-27 17:20:55.112649918+01:00,21
2019-09-27 17:20:55.313950062+01:00,23
2019-09-27 17:20:55.512700081+01:00,25
2019-09-27 17:20:55.712699890+01:00,26
2019-09-27 17:20:55.912699938+01:00,27
2019-09-27 17:20:56.112750053+01:00,27
2019-09-27 17:20:56.312750101+01:00,27
2019-09-27 17:20:56.512749910+01:00,27
2019-09-27 17:20:56.712749958+01:00,31
2019-09-27 17:20:56.912750006+01:00,35
2019-09-27 17:20:57.112799883+01:00,36
2019-09-27 17:20:57.312799931+01:00,38
2019-09-27 17:20:57.513000011+01:00,45
2019-09-27 17:20:57.712850094+01:00,46
2019-09-27 17:20:57.912849903+01:00,45
2019-09-27 17:20:58.114099979+01:00,44
2019-09-27 17:20:58.312999964+01:00,41
2019-09-27 17:20:58.512900114+01:00,41
2019-09-27 17:20:58.713049889+01:00,41
2019-09-27 17:20:58.913000107+01:00,41
2019-09-27 17:20:59.112950087+01:00,39
2019-09-27 17:20:59.312949896+01:00,37
2019-09-27 17:20:59.512949944+01:00,33
2019-09-27 17:20:59.713150024+01:00,31
2019-09-27 17:20:59.913000107+01:00,28
2019-09-27 17:21:00.113049984+01:00,25
2019-09-27 17:21:00.312999964+01:00,22
2019-09-27 17:21:00.513299941+01:00,22
2019-09-27 17:21:00.713049889+01:00,22
2019-09-27 17:21:00.913100004+01:00,22
2019-09-27 17:21:01.113149881+01:00,36
2019-09-27 17:21:01.313199997+01:00,58
2019-09-27 17:21:01.513099909+01:00,74
2019-09-27 17:21:01.713099957+01:00,84
2019-09-27 17:21:01.913100004+01:00,83
2019-09-27 17:21:02.113149881+01:00,84
2019-09-27 17:21:02.313149929+01:00,85
2019-09-27 17:21:02.513149977+01:00,86
2019-09-27 17:21:02.713150024+01:00,86
2019-09-27 17:21:02.913199902+01:00,84
2019-09-27 17:21:03.113199949+01:00,84
2019-09-27 17:21:03.313199997+01:00,84
2019-09-27 17:21:03.513499975+01:00,83
2019-09-27 17:21:03.713249922+01:00,84
2019-09-27 17:21:03.913249969+01:00,84
2019-09-27 17:21:04.113300085+01:00,85
2019-09-27 17:21:04.313299894+01:00,86
2019-09-27 17:21:04.513400078+01:00,86
2019-09-27 17:21:04.713500023+01:00,87
2019-09-27 17:21:04.913350105+01:00,88
2019-09-27 17:21:05.113450050+01:00,89
2019-09-27 17:21:05.313499928+01:00,89
2019-09-27 17:21:05.513499975+01:00,87
2019-09-27 17:21:05.713599920+01:00,84
2019-09-27 17:21:05.913549900+01:00,83
2019-09-27 17:21:06.113399982+01:00,84
2019-09-27 17:21:06.313400030+01:00,85
2019-09-27 17:21:06.513449907+01:00,86
2019-09-27 17:21:06.709199905+01:00,86
2019-09-27 17:21:06.913800001+01:00,89
2019-09-27 17:21:07.113500118+01:00,90
2019-09-27 17:21:07.313499928+01:00,89
2019-09-27 17:21:07.513600111+01:00,87
2019-09-27 17:21:07.713500023+01:00,84
2019-09-27 17:21:07.913650036+01:00,82
2019-09-27 17:21:08.113650084+01:00,82
2019-09-27 17:21:08.313649893+01:00,81
2019-09-27 17:21:08.513600111+01:00,80
2019-09-27 17:21:08.713599920+01:00,79
2019-09-27 17:21:08.913650036+01:00,79
2019-09-27 17:21:09.113850117+01:00,57
2019-09-27 17:21:09.313849926+01:00,36
2019-09-27 17:21:09.513799906+01:00,31
2019-09-27 17:21:09.713850021+01:00,26
2019-09-27 17:21:09.913650036+01:00,24
2019-09-27 17:21:10.113749981+01:00,25
2019-09-27 17:21:10.313699961+01:00,22
2019-09-27 17:21:10.513750076+01:00,22
2019-09-27 17:21:10.713850021+01:00,24
2019-09-27 17:21:10.913800001+01:00,28
2019-09-27 17:21:11.113850117+01:00,38
2019-09-27 17:21:11.313849926+01:00,41
2019-09-27 17:21:11.513799906+01:00,35
2019-09-27 17:21:11.709949970+01:00,36
2019-09-27 17:21:11.913899899+01:00,39
2019-09-27 17:21:12.113850117+01:00,55
2019-09-27 17:21:12.313849926+01:00,82
2019-09-27 17:21:12.513849974+01:00,87
2019-09-27 17:21:12.713850021+01:00,95
2019-09-27 17:21:12.914000034+01:00,97
2019-09-27 17:21:13.114000082+01:00,98
2019-09-27 17:21:13.313899994+01:00,98
2019-09-27 17:21:13.513900041+01:00,98
2019-09-27 17:21:13.713949919+01:00,98
2019-09-27 17:21:13.913949966+01:00,98
2019-09-27 17:21:14.114000082+01:00,98
2019-09-27 17:21:14.314199924+01:00,98
2019-09-27 17:21:14.513999938+01:00,98
2019-09-27 17:21:14.714149952+01:00,98
2019-09-27 17:21:14.914200068+01:00,98
2019-09-27 17:21:15.114049911+01:00,98
2019-09-27 17:21:15.314349890+01:00,98
2019-09-27 17:21:15.514050007+01:00,98
2019-09-27 17:21:15.714050055+01:00,98
2019-09-27 17:21:15.914050102+01:00,98
2019-09-27 17:21:16.114249945+01:00,98
2019-09-27 17:21:16.314300060+01:00,98
2019-09-27 17:21:16.514149904+01:00,98
2019-09-27 17:21:16.714099884+01:00,98
