timestamps,S1_PID_0C_EngineRPM
2019-09-27 17:19:59.929250002+01:00,2368.0
2019-09-27 17:20:00.129199981+01:00,2351.0
2019-09-27 17:20:00.329299927+01:00,2337.0
2019-09-27 17:20:00.529299973+01:00,2327.0
2019-09-27 17:20:00.729199886+01:00,2331.0
2019-09-27 17:20:00.929150105+01:00,2335.0
2019-09-27 17:20:01.129600048+01:00,2344.0
2019-09-27 17:20:01.329400063+01:00,2349.0
2019-09-27 17:20:01.529150009+01:00,2357.0
2019-09-27 17:20:01.729199886+01:00,2363.0
2019-09-27 17:20:01.929450035+01:00,2367.0
2019-09-27 17:20:02.129699945+01:00,2372.0
2019-09-27 17:20:02.329400063+01:00,2379.0
2019-09-27 17:20:02.529700041+01:00,2386.0
2019-09-27 17:20:02.729749918+01:00,2388.0
2019-09-27 17:20:02.929450035+01:00,2391.0
2019-09-27 17:20:03.129899979+01:00,2396.0
2019-09-27 17:20:03.329499960+01:00,2400.0
2019-09-27 17:20:03.529649973+01:00,2399.0
2019-09-27 17:20:03.729749918+01:00,2386.0
2019-09-27 17:20:03.929650068+01:00,2379.0
2019-09-27 17:20:04.129250050+01:00,2367.0
2019-09-27 17:20:04.329499960+01:00,2361.0
2019-09-27 17:20:04.529400110+01:00,2363.0
2019-09-27 17:20:04.725199938+01:00,2365.0
2019-09-27 17:20:04.929549932+01:00,2374.0
2019-09-27 17:20:05.130199909+01:00,2375.0
2019-09-27 17:20:05.329600096+01:00,2382.0
2019-09-27 17:20:05.529350042+01:00,2386.0
2019-09-27 17:20:05.729549885+01:00,2391.0
2019-09-27 17:20:05.930399895+01:00,2395.0
2019-09-27 17:20:06.129600048+01:00,2395.0
2019-09-27 17:20:06.329550028+01:00,2391.0
2019-09-27 17:20:06.529400110+01:00,2376.0
2019-09-27 17:20:06.729500055+01:00,2361.0
2019-09-27 17:20:06.929850101+01:00,2354.0
2019-09-27 17:20:07.130599976+01:00,2349.0
2019-09-27 17:20:07.329699993+01:00,2348.0
2019-09-27 17:20:07.529500007+01:00,2351.0
2019-09-27 17:20:07.729449987+01:00,2354.0
2019-09-27 17:20:07.930000067+01:00,2359.0
2019-09-27 17:20:08.129549980+01:00,2368.0
2019-09-27 17:20:08.329600096+01:00,2372.0
2019-09-27 17:20:08.529649973+01:00,2381.0
2019-09-27 17:20:08.729850054+01:00,2389.0
2019-09-27 17:20:08.929699898+01:00,2391.0
2019-09-27 17:20:09.129600048+01:00,2400.0
2019-09-27 17:20:09.329600096+01:00,2405.0
2019-09-27 17:20:09.529649973+01:00,2408.0
2019-09-27 17:20:09.729899883+01:00,2417.0
2019-09-27 17:20:09.929699898+01:00,2419.0
2019-09-27 17:20:10.129650116+01:00,2421.0
2019-09-27 17:20:10.329900026+01:00,2423.0
