timestamps,S1_PID_0D_VehicleSpeed
2019-09-27 17:19:59.948899984+01:00,46
2019-09-27 17:20:00.149300098+01:00,46
2019-09-27 17:20:00.348949909+01:00,45
2019-09-27 17:20:00.549050093+01:00,45
2019-09-27 17:20:00.749799967+01:00,45
2019-09-27 17:20:00.949549913+01:00,45
2019-09-27 17:20:01.149549961+01:00,45
2019-09-27 17:20:01.349499941+01:00,45
2019-09-27 17:20:01.549849987+01:00,46
2019-09-27 17:20:01.749249935+01:00,46
2019-09-27 17:20:01.949500084+01:00,46
2019-09-27 17:20:02.149549961+01:00,46
2019-09-27 17:20:02.349550009+01:00,46
2019-09-27 17:20:02.549550056+01:00,46
2019-09-27 17:20:02.749500036+01:00,46
2019-09-27 17:20:02.949399948+01:00,46
2019-09-27 17:20:03.149549961+01:00,46
2019-09-27 17:20:03.349299908+01:00,47
2019-09-27 17:20:03.549249887+01:00,47
2019-09-27 17:20:03.749150038+01:00,46
2019-09-27 17:20:03.949199915+01:00,46
2019-09-27 17:20:04.150099993+01:00,46
2019-09-27 17:20:04.349200010+01:00,46
2019-09-27 17:20:04.549550056+01:00,46
2019-09-27 17:20:04.749350071+01:00,46
2019-09-27 17:20:04.949300051+01:00,46
2019-09-27 17:20:05.149349928+01:00,46
2019-09-27 17:20:05.349499941+01:00,46
2019-09-27 17:20:05.550100088+01:00,46
2019-09-27 17:20:05.749550104+01:00,46
2019-09-27 17:20:05.949549913+01:00,46
2019-09-27 17:20:06.149300098+01:00,46
2019-09-27 17:20:06.349349976+01:00,46
2019-09-27 17:20:06.549449921+01:00,46
2019-09-27 17:20:06.749350071+01:00,46
2019-09-27 17:20:06.949500084+01:00,46
2019-09-27 17:20:07.149499893+01:00,46
2019-09-27 17:20:07.349649906+01:00,46
2019-09-27 17:20:07.549599886+01:00,46
2019-09-27 17:20:07.749550104+01:00,46
2019-09-27 17:20:07.949500084+01:00,46
2019-09-27 17:20:08.149600029+01:00,46
2019-09-27 17:20:08.349499941+01:00,46
2019-09-27 17:20:08.549449921+01:00,46
2019-09-27 17:20:08.749500036+01:00,46
2019-09-27 17:20:08.949749947+01:00,46
2019-09-27 17:20:09.149549961+01:00,46
2019-09-27 17:20:09.349550009+01:00,47
2019-09-27 17:20:09.549799919+01:00,47
2019-09-27 17:20:09.749550104+01:00,47
2019-09-27 17:20:09.949599981+01:00,47
2019-09-27 17:20:10.150000095+01:00,47
2019-09-27 17:20:10.349600077+01:00,47
2019-09-27 17:20:10.545599937+01:00,47
2019-09-27 17:20:10.749799967+01:00,47
2019-09-27 17:20:10.949899912+01:00,47
2019-09-27 17:20:11.149950027+01:00,47
2019-09-27 17:20:11.349800110+01:00,48
2019-09-27 17:20:11.549849987+01:00,48
2019-09-27 17:20:11.749799967+01:00,48
2019-09-27 17:20:11.950000048+01:00,48
2019-09-27 17:20:12.149749994+01:00,48
2019-09-27 17:20:12.349950075+01:00,48
2019-09-27 17:20:12.549900055+01:00,48
2019-09-27 17:20:12.749900103+01:00,48
2019-09-27 17:20:12.949749947+01:00,48
2019-09-27 17:20:13.150049925+01:00,48
2019-09-27 17:20:13.345750093+01:00,48
2019-09-27 17:20:13.549799919+01:00,48
2019-09-27 17:20:13.749900103+01:00,48
2019-09-27 17:20:13.949850082+01:00,48
2019-09-27 17:20:14.149849892+01:00,49
2019-09-27 17:20:14.350049973+01:00,49
2019-09-27 17:20:14.549999952+01:00,49
2019-09-27 17:20:14.749900103+01:00,49
2019-09-27 17:20:14.950050116+01:00,49
2019-09-27 17:20:15.150049925+01:00,49
2019-09-27 17:20:15.350199938+01:00,49
2019-09-27 17:20:15.550100088+01:00,49
2019-09-27 17:20:15.749949932+01:00,49
2019-09-27 17:20:15.950249910+01:00,49
2019-09-27 17:20:16.150249958+01:00,50
2019-09-27 17:20:16.349999905+01:00,50
2019-09-27 17:20:16.549999952+01:00,50
2019-09-27 17:20:16.750099897+01:00,50
2019-09-27 17:20:16.950150013+01:00,50
2019-09-27 17:20:17.150099993+01:00,50
2019-09-27 17:20:17.350399971+01:00,50
2019-09-27 17:20:17.550299883+01:00,50
2019-09-27 17:20:17.750200033+01:00,50
2019-09-27 17:20:17.950099945+01:00,51
2019-09-27 17:20:18.150249958+01:00,51
2019-09-27 17:20:18.345700026+01:00,51
2019-09-27 17:20:18.550250053+01:00,51
2019-09-27 17:20:18.750299931+01:00,51
2019-09-27 17:20:18.950299978+01:00,51
2019-09-27 17:20:19.150199890+01:00,52
2019-09-27 17:20:19.350199938+01:00,52
2019-09-27 17:20:19.550299883+01:00,52
2019-09-27 17:20:19.751049995+01:00,52
2019-09-27 17:20:19.950249910+01:00,52
2019-09-27 17:20:20.146250010+01:00,52
2019-09-27 17:20:20.350300074+01:00,52
2019-09-27 17:20:20.550299883+01:00,51
2019-09-27 17:20:20.750349998+01:00,51
2019-09-27 17:20:20.950400114+01:00,50
2019-09-27 17:20:21.150549889+01:00,50
2019-09-27 17:20:21.350450039+01:00,49
2019-09-27 17:20:21.550549984+01:00,49
2019-09-27 17:20:21.751499891+01:00,48
2019-09-27 17:20:21.950400114+01:00,48
2019-09-27 17:20:22.150399923+01:00,47
2019-09-27 17:20:22.350699902+01:00,47
2019-09-27 17:20:22.550499916+01:00,46
2019-09-27 17:20:22.750799894+01:00,46
2019-09-27 17:20:22.950449944+01:00,45
2019-09-27 17:20:23.150549889+01:00,45
2019-09-27 17:20:23.350500107+01:00,44
2019-09-27 17:20:23.550499916+01:00,43
2019-09-27 17:20:23.750750065+01:00,43
2019-09-27 17:20:23.950550079+01:00,42
2019-09-27 17:20:24.150549889+01:00,42
2019-09-27 17:20:24.350549936+01:00,41
2019-09-27 17:20:24.550549984+01:00,41
2019-09-27 17:20:24.750750065+01:00,40
2019-09-27 17:20:24.950599909+01:00,39
2019-09-27 17:20:25.150650024+01:00,38
2019-09-27 17:20:25.350600004+01:00,38
2019-09-27 17:20:25.550649881+01:00,37
2019-09-27 17:20:25.750750065+01:00,36
2019-09-27 17:20:25.950649977+01:00,34
2019-09-27 17:20:26.151449919+01:00,33
2019-09-27 17:20:26.350699902+01:00,32
2019-09-27 17:20:26.550699949+01:00,31
2019-09-27 17:20:26.750699997+01:00,29
2019-09-27 17:20:26.950700045+01:00,28
2019-09-27 17:20:27.150850058+01:00,27
2019-09-27 17:20:27.350749969+01:00,25
2019-09-27 17:20:27.550800085+01:00,24
2019-09-27 17:20:27.750750065+01:00,22
2019-09-27 17:20:27.950799942+01:00,21
2019-09-27 17:20:28.150899887+01:00,19
2019-09-27 17:20:28.350850105+01:00,18
2019-09-27 17:20:28.550950050+01:00,16
2019-09-27 17:20:28.751199961+01:00,14
2019-09-27 17:20:28.950949907+01:00,13
2019-09-27 17:20:29.150899887+01:00,11
2019-09-27 17:20:29.350899935+01:00,9
2019-09-27 17:20:29.550899982+01:00,8
2019-09-27 17:20:29.750900030+01:00,6
2019-09-27 17:20:50.752449989+01:00,20
2019-09-27 17:20:50.952450037+01:00,20
2019-09-27 17:20:51.152549982+01:00,20
2019-09-27 17:20:51.352499962+01:00,20
2019-09-27 17:20:51.552500010+01:00,20
2019-09-27 17:20:51.752399921+01:00,20
2019-09-27 17:20:51.952399969+01:00,20
2019-09-27 17:20:52.152450085+01:00,20
2019-09-27 17:20:52.352499962+01:00,20
2019-09-27 17:20:52.552599907+01:00,20
2019-09-27 17:20:52.752500057+01:00,20
2019-09-27 17:20:52.952500105+01:00,20
2019-09-27 17:20:53.152849913+01:00,20
2019-09-27 17:20:53.352550030+01:00,21
2019-09-27 17:20:53.552550077+01:00,21
2019-09-27 17:20:53.752599955+01:00,21
2019-09-27 17:20:53.953350067+01:00,21
2019-09-27 17:20:54.152800083+01:00,21
2019-09-27 17:20:54.352600098+01:00,21
2019-09-27 17:20:54.552750111+01:00,21
2019-09-27 17:20:54.752599955+01:00,21
2019-09-27 17:20:54.952650070+01:00,21
2019-09-27 17:20:55.152899981+01:00,21
2019-09-27 17:20:55.352699995+01:00,21
2019-09-27 17:20:55.552700043+01:00,21
2019-09-27 17:20:55.752700090+01:00,20
2019-09-27 17:20:55.953049898+01:00,20
2019-09-27 17:20:56.152750015+01:00,20
2019-09-27 17:20:56.352750063+01:00,20
2019-09-27 17:20:56.552900076+01:00,19
2019-09-27 17:20:56.752749920+01:00,19
2019-09-27 17:20:56.952899933+01:00,19
2019-09-27 17:20:57.152800083+01:00,19
2019-09-27 17:20:57.352799892+01:00,19
2019-09-27 17:20:57.552900076+01:00,19
2019-09-27 17:20:57.752850056+01:00,19
2019-09-27 17:20:57.952800035+01:00,19
2019-09-27 17:20:58.152849913+01:00,19
2019-09-27 17:20:58.352849960+01:00,19
2019-09-27 17:20:58.552900076+01:00,20
2019-09-27 17:20:58.752899885+01:00,20
2019-09-27 17:20:58.952899933+01:00,20
2019-09-27 17:20:59.152950048+01:00,20
2019-09-27 17:20:59.352950096+01:00,20
2019-09-27 17:20:59.553149939+01:00,20
2019-09-27 17:20:59.752949953+01:00,19
2019-09-27 17:20:59.952950001+01:00,19
2019-09-27 17:21:00.153000116+01:00,19
2019-09-27 17:21:00.353049994+01:00,18
2019-09-27 17:21:00.553050041+01:00,18
2019-09-27 17:21:00.753099918+01:00,17
2019-09-27 17:21:00.953200102+01:00,17
2019-09-27 17:21:01.153249979+01:00,16
2019-09-27 17:21:01.353199959+01:00,16
2019-09-27 17:21:01.553100109+01:00,16
2019-09-27 17:21:01.753099918+01:00,16
2019-09-27 17:21:01.953099966+01:00,16
2019-09-27 17:21:02.153150082+01:00,16
2019-09-27 17:21:02.353149891+01:00,17
2019-09-27 17:21:02.553149939+01:00,17
2019-09-27 17:21:02.753149986+01:00,17
2019-09-27 17:21:02.953200102+01:00,17
2019-09-27 17:21:03.153249979+01:00,17
2019-09-27 17:21:03.353199959+01:00,18
2019-09-27 17:21:03.553200006+01:00,18
2019-09-27 17:21:03.753249884+01:00,18
2019-09-27 17:21:03.954400063+01:00,18
2019-09-27 17:21:04.153500080+01:00,18
2019-09-27 17:21:04.353300095+01:00,18
2019-09-27 17:21:04.553299904+01:00,19
2019-09-27 17:21:04.753350019+01:00,19
2019-09-27 17:21:04.953350067+01:00,20
2019-09-27 17:21:05.153450012+01:00,20
2019-09-27 17:21:05.353450060+01:00,21
2019-09-27 17:21:05.553499937+01:00,22
2019-09-27 17:21:05.753550053+01:00,23
2019-09-27 17:21:05.953599930+01:00,24
2019-09-27 17:21:06.153399944+01:00,25
2019-09-27 17:21:06.353650093+01:00,25
2019-09-27 17:21:06.553450108+01:00,26
2019-09-27 17:21:06.753449917+01:00,27
2019-09-27 17:21:06.953550100+01:00,28
2019-09-27 17:21:07.153850079+01:00,28
2019-09-27 17:21:07.353899956+01:00,29
2019-09-27 17:21:07.553699970+01:00,30
2019-09-27 17:21:07.753950119+01:00,31
2019-09-27 17:21:07.953500032+01:00,31
2019-09-27 17:21:08.154700041+01:00,32
2019-09-27 17:21:08.353600025+01:00,32
2019-09-27 17:21:08.554699898+01:00,33
2019-09-27 17:21:08.753550053+01:00,34
2019-09-27 17:21:08.953799963+01:00,34
2019-09-27 17:21:09.153700113+01:00,34
2019-09-27 17:21:09.353849888+01:00,34
2019-09-27 17:21:09.553750038+01:00,34
2019-09-27 17:21:09.753649950+01:00,34
2019-09-27 17:21:09.953700066+01:00,33
2019-09-27 17:21:10.153700113+01:00,33
2019-09-27 17:21:10.353749990+01:00,33
2019-09-27 17:21:10.553750038+01:00,32
2019-09-27 17:21:10.753900051+01:00,32
2019-09-27 17:21:10.954050064+01:00,31
2019-09-27 17:21:11.153850079+01:00,31
2019-09-27 17:21:11.353849888+01:00,30
2019-09-27 17:21:11.553750038+01:00,30
2019-09-27 17:21:11.753900051+01:00,29
2019-09-27 17:21:11.953799963+01:00,29
2019-09-27 17:21:12.153850079+01:00,29
2019-09-27 17:21:12.353849888+01:00,28
2019-09-27 17:21:12.553849936+01:00,28
2019-09-27 17:21:12.753950119+01:00,28
2019-09-27 17:21:12.953999996+01:00,28
2019-09-27 17:21:13.154000044+01:00,29
2019-09-27 17:21:13.353899956+01:00,29
2019-09-27 17:21:13.553900003+01:00,30
2019-09-27 17:21:13.754300117+01:00,30
2019-09-27 17:21:13.954250097+01:00,31
2019-09-27 17:21:14.154000044+01:00,31
2019-09-27 17:21:14.353950024+01:00,32
2019-09-27 17:21:14.553999901+01:00,32
2019-09-27 17:21:14.753999949+01:00,33
2019-09-27 17:21:14.953999996+01:00,33
2019-09-27 17:21:15.154050112+01:00,34
2019-09-27 17:21:15.354049921+01:00,34
2019-09-27 17:21:15.554049969+01:00,35
2019-09-27 17:21:15.754050016+01:00,36
2019-09-27 17:21:15.954149961+01:00,36
2019-09-27 17:21:16.154099941+01:00,37
2019-09-27 17:21:16.354150057+01:00,37
2019-09-27 17:21:16.554100037+01:00,38
2019-09-27 17:21:16.754100084+01:00,38
2019-09-27 17:21:16.954149961+01:00,39
2019-09-27 17:21:17.154150009+01:00,39
2019-09-27 17:21:17.354199886+01:00,40
2019-09-27 17:21:17.554450035+01:00,40
2019-09-27 17:21:17.754199982+01:00,41
2019-09-27 17:21:17.954400063+01:00,41
2019-09-27 17:21:18.154649973+01:00,41
2019-09-27 17:21:18.354249954+01:00,42
2019-09-27 17:21:18.554250002+01:00,42
2019-09-27 17:21:18.754250050+01:00,43
2019-09-27 17:21:18.954299927+01:00,43
2019-09-27 17:21:19.154400110+01:00,44
2019-09-27 17:21:19.354399920+01:00,44
2019-09-27 17:21:19.554699898+01:00,45
2019-09-27 17:21:19.754349947+01:00,45
