,index,Power,time_stamp
0,12355,3518.44270860215,2019-10-01 10:30:00
1,12356,3518.4468655913975,2019-10-01 10:30:00
2,12357,3518.451022580645,2019-10-01 10:30:00
3,12358,3518.4551784946234,2019-10-01 10:30:00
4,12359,3518.4593344086015,2019-10-01 10:30:00
5,12360,3518.463489247312,2019-10-01 10:30:00
6,12361,3518.4676430107525,2019-10-01 10:30:00
7,12362,3518.471796774193,2019-10-01 10:30:00
8,12363,3518.475950537634,2019-10-01 10:30:00
9,12364,3518.4801032258065,2019-10-01 10:30:00
10,12365,3518.484255913978,2019-10-01 10:30:00
11,12366,3518.4884075268815,2019-10-01 10:30:00
12,12367,3518.492559139785,2019-10-01 10:30:00
13,12368,3518.496709677419,2019-10-01 10:30:00
14,12369,3518.5008602150538,2019-10-01 10:30:00
15,12370,3518.5050096774194,2019-10-01 10:30:00
16,12371,3518.509159139785,2019-10-01 10:30:00
17,12372,3518.513307526882,2019-10-01 10:30:00
18,12373,3518.517455913978,2019-10-01 10:30:00
19,12374,3518.521603225806,2019-10-01 10:30:00
20,12375,3518.525750537634,2019-10-01 10:30:00
21,12376,3518.5298978494625,2019-10-01 10:30:00
22,12377,3518.5340430107526,2019-10-01 10:30:00
23,12378,3518.5381892473115,2019-10-01 10:30:00
24,12379,3518.542334408602,2019-10-01 10:30:00
25,12380,3518.5464784946234,2019-10-01 10:30:00
26,12381,3518.550622580645,2019-10-01 10:30:00
27,12382,3518.554765591398,2019-10-01 10:30:00
28,12383,3518.5589086021505,2019-10-01 10:30:00
29,12384,3518.563051612903,2019-10-01 10:30:00
30,12385,3518.5671935483865,2019-10-01 10:30:00
31,12386,3518.571334408602,2019-10-01 10:30:00
32,12387,3518.575475268817,2019-10-01 10:30:00
33,12388,3518.5796161290323,2019-10-01 10:30:00
34,12389,3518.583755913978,2019-10-01 10:30:00
35,12390,3518.5878956989245,2019-10-01 10:30:00
36,12391,3518.592034408602,2019-10-01 10:30:00
37,12392,3518.59617204301,2019-10-01 10:30:00
38,12393,3518.6003096774193,2019-10-01 10:30:00
39,12394,3518.6044473118277,2019-10-01 10:30:00
40,12395,3518.6085838709673,2019-10-01 10:30:00
41,12396,3518.6127204301074,2019-10-01 10:30:00
42,12397,3518.6168559139787,2019-10-01 10:30:00
43,12398,3518.620991397849,2019-10-01 10:30:00
44,12399,3518.6251258064513,2019-10-01 10:30:00
45,12400,3518.629260215054,2019-10-01 10:30:00
46,12401,3518.633393548387,2019-10-01 10:30:00
47,12402,3518.63752688172,2019-10-01 10:30:00
48,12403,3518.6416591397847,2019-10-01 10:30:00
49,12404,3518.6457913978493,2019-10-01 10:30:00
50,12405,3518.649922580645,2019-10-01 10:30:00
51,12406,3518.6540537634405,2019-10-01 10:30:00
52,12407,3518.6581838709676,2019-10-01 10:30:00
53,12408,3518.6623139784942,2019-10-01 10:30:00
54,12409,3518.6664440860213,2019-10-01 10:30:00
55,12410,3518.6705720430105,2019-10-01 10:30:00
56,12411,3518.6747010752683,2019-10-01 10:30:00
57,12412,3518.678829032258,2019-10-01 10:30:00
58,12413,3518.6829559139783,2019-10-01 10:30:00
59,12414,3518.6870827956986,2019-10-01 10:30:00
60,12415,3518.6912096774195,2019-10-01 10:30:00
61,12416,3518.6953354838706,2019-10-01 10:30:00
62,12417,3518.699461290322,2019-10-01 10:30:00
63,12418,3518.703586021505,2019-10-01 10:30:00
64,12419,3518.707709677419,2019-10-01 10:30:00
65,12420,3518.711833333333,2019-10-01 10:30:00
